Dataset,Feature,Extreme_Type,Values,SubjectIDs
MIMIC-IV,R_Amp_aVF,Top 20,"16.1988, 10.3717, 8.9063, 6.4288, 5.5901, 3.9859, 3.7445, 3.63, 3.5569, 3.2959, 3.2612, 3.2378, 3.2175, 3.2136, 3.1896, 3.1467, 3.109, 3.1003, 3.0989, 3.0696","10250736, 13237537, 17730015, 18586624, 10139387, 13897558, 11381511, 13897558, 11048724, 18248250, 16110576, 10725079, 18248250, 18301917, 13565241, 13484313, 13565241, 13565241, 18248250, 19045277"
MIMIC-IV,R_Amp_aVF,Bottom 20,"-179.002, -150.3265, -128.8998, -116.1594, -110.8693, -104.9726, -102.4844, -100.4921, -100.1422, -99.6988, -98.9396, -98.8066, -97.3141, -95.9615, -92.2983, -91.8995, -91.0008, -90.6461, -90.1848, -89.3648","15605951, 16098597, 17399317, 16540899, 16098597, 14822638, 10635271, 17519144, 16270136, 11960875, 18075452, 18075452, 14822638, 17399317, 17399317, 18075452, 17399317, 17551805, 17519144, 15715874"
MIMIC-IV,R_Amp_aVF_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,R_Amp_aVF_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,R_Amp_aVF_iqr,Top 20,"144.5205, 136.6274, 134.2862, 109.8406, 107.734, 106.1837, 86.4644, 78.7849, 63.0897, 51.275, 51.2403, 50.8127, 50.5312, 50.5207, 50.3901, 50.1056, 49.9604, 49.9015, 47.4304, 47.388","17132849, 10639500, 11960875, 11279168, 14874072, 19482678, 15689762, 14691000, 14822638, 13943729, 19857858, 14219343, 15161279, 12455327, 11009860, 18094058, 14219343, 17211916, 18467232, 18467232"
MIMIC-IV,R_Amp_aVF_iqr,Bottom 20,"0.0004, 0.0005, 0.0006, 0.0015, 0.0018, 0.0021, 0.0022, 0.0023, 0.0023, 0.0025, 0.0025, 0.0026, 0.0026, 0.0026, 0.0026, 0.0027, 0.0027, 0.0027, 0.0027, 0.0028","18913382, 14936002, 14369822, 15854157, 19055392, 19866517, 19111015, 18294524, 10891565, 18098528, 11118898, 10168835, 18437792, 19156652, 15016682, 13000968, 17188397, 11504325, 19688885, 12648027"
MIMIC-IV,R_Amp_aVL,Top 20,"35.544, 16.9589, 7.7515, 7.5914, 7.1941, 5.8131, 5.6936, 4.1785, 3.5204, 3.5108, 3.4921, 3.2067, 3.166, 3.082, 3.0589, 3.014, 2.9528, 2.8485, 2.8183, 2.7953","10139387, 10250736, 17823467, 17730015, 16766908, 19951395, 18586624, 17399317, 11625397, 18417736, 17399317, 15715874, 12251882, 19921130, 15715874, 17832311, 10635271, 14675620, 18445990, 11722313"
MIMIC-IV,R_Amp_aVL,Bottom 20,"-180.1678, -123.9939, -105.2857, -100.032, -99.8912, -91.8537, -87.2282, -85.894, -85.6339, -85.1046, -84.8099, -82.475, -80.9387, -77.1711, -73.7853, -72.5093, -72.4347, -70.2692, -69.7897, -67.632","15605951, 16098597, 11279168, 11960875, 17399317, 16098597, 18075452, 14822638, 18075452, 16540899, 17132849, 16270136, 13434840, 14822638, 14691000, 15715874, 18075452, 18075452, 17399317, 17399317"
MIMIC-IV,R_Amp_aVL_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,R_Amp_aVL_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,R_Amp_aVL_iqr,Top 20,"137.7183, 134.7475, 129.8666, 117.8106, 88.4783, 80.2835, 75.8395, 74.6196, 56.6592, 49.4246, 49.1118, 48.8017, 47.8476, 46.6128, 46.2328, 45.8582, 42.5184, 37.7025, 36.5173, 35.8937","10639500, 11960875, 11279168, 17132849, 12517010, 14691000, 12738850, 10139387, 14822638, 13943729, 19390611, 17245999, 11009860, 15715874, 18075452, 18075452, 15689762, 13434840, 13943729, 12935402"
MIMIC-IV,R_Amp_aVL_iqr,Bottom 20,"0.0008, 0.0011, 0.0019, 0.0019, 0.002, 0.0021, 0.0021, 0.0021, 0.0022, 0.0023, 0.0024, 0.0024, 0.0025, 0.0025, 0.0026, 0.0027, 0.0028, 0.0028, 0.0028, 0.0028","17563163, 12872850, 10076116, 12101085, 16888516, 17879667, 12139700, 11143932, 12493796, 17793548, 16744121, 19168490, 19917446, 15939007, 15112972, 16002913, 13150244, 19480985, 16770005, 17693576"
MIMIC-IV,R_Amp_aVR,Top 20,"16.3323, 8.9498, 8.072, 7.9692, 7.7803, 6.9233, 6.6631, 6.5431, 5.3418, 4.8943, 4.8185, 4.4381, 4.3054, 3.94, 3.7239, 3.4806, 2.9062, 2.8646, 2.816, 2.5023","16246903, 18676370, 15109122, 17730015, 14267880, 10139387, 11329832, 16766908, 18586624, 17641105, 17562772, 18218981, 15946581, 19175070, 13433123, 13126146, 10908909, 17244595, 10725079, 12597933"
MIMIC-IV,R_Amp_aVR,Bottom 20,"-180.0717, -102.9474, -98.5601, -97.6372, -96.7866, -93.0746, -88.928, -87.4913, -87.1686, -80.8763, -76.963, -73.6069, -73.1192, -68.6254, -58.6304, -56.1399, -55.2648, -55.0352, -50.4373, -49.7401","15605951, 11559611, 11960875, 16098597, 13434840, 11886174, 12952202, 11279168, 13434840, 13434840, 19230597, 10908909, 14691000, 17132849, 10286998, 14812210, 13296168, 16098597, 16270136, 10558918"
MIMIC-IV,R_Amp_aVR_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,R_Amp_aVR_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,R_Amp_aVR_iqr,Top 20,"141.253, 137.7385, 132.5136, 120.1553, 109.4506, 78.7373, 54.0562, 51.0996, 48.3591, 30.1065, 29.6659, 28.3138, 27.9108, 27.8613, 27.7116, 27.6094, 27.5624, 27.1128, 27.0276, 26.7261","17132849, 10639500, 11960875, 14874072, 11279168, 14691000, 11372911, 19909522, 13296168, 13434840, 19230597, 14812210, 16194637, 10558918, 10558918, 12531837, 12952202, 16391669, 10908909, 13931777"
MIMIC-IV,R_Amp_aVR_iqr,Bottom 20,"0.0007, 0.0008, 0.001, 0.0012, 0.0013, 0.0013, 0.0015, 0.0016, 0.0017, 0.0017, 0.0017, 0.0018, 0.0018, 0.0018, 0.0018, 0.0018, 0.0019, 0.0019, 0.0019, 0.002","17513800, 15989663, 11641642, 12763102, 11942193, 11863318, 11697344, 12395089, 17525478, 11862124, 12156452, 19145636, 13194187, 12847817, 17889943, 19638043, 19766777, 19456368, 13832900, 18205389"
MIMIC-IV,ST_Elev_I,Top 20,"16.5487, 12.5215, 6.5874, 5.806, 4.9525, 4.5916, 3.5572, 3.4469, 3.3624, 3.3372, 2.2475, 2.1218, 2.0998, 1.6772, 1.4444, 1.2708, 1.1746, 1.1177, 1.0317, 1.029","14874072, 13237537, 10570126, 11960875, 15065955, 11845306, 11339006, 19909522, 12805443, 10250736, 17400716, 13762217, 15946581, 17132849, 11559611, 17316016, 16776139, 12817498, 10569454, 12115766"
MIMIC-IV,ST_Elev_I,Bottom 20,"-35.8537, -14.6196, -13.0724, -12.373, -11.2303, -9.3009, -9.2696, -8.727, -7.9108, -7.7305, -7.6726, -7.6658, -7.0025, -5.7326, -5.4309, -5.0523, -4.6023, -4.5359, -4.5311, -4.0466","14691000, 13237537, 17730015, 13667220, 14267880, 15109122, 17641105, 11329832, 17562772, 10725079, 13126146, 14962112, 18676370, 15439322, 17244595, 19175070, 13509460, 18218981, 19771110, 12010510"
MIMIC-IV,ST_Elev_II,Top 20,"10.3385, 9.257, 8.6888, 6.5965, 6.4844, 5.8571, 5.2864, 5.1181, 4.9915, 3.6418, 3.5856, 3.214, 2.2329, 2.1763, 2.0768, 1.7618, 1.6693, 1.5541, 1.5506, 1.5394","19909522, 19390611, 18799675, 16663465, 10570126, 11960875, 17948389, 15065955, 15689762, 10639500, 11339006, 10250736, 17400716, 13762217, 15946581, 10342123, 16391669, 11818101, 11818101, 11818101"
MIMIC-IV,ST_Elev_II,Bottom 20,"-50.288, -23.3993, -21.2407, -16.8624, -14.6175, -11.7014, -11.2712, -10.8061, -10.3592, -9.1801, -8.7447, -8.4422, -8.244, -8.1843, -7.7156, -7.6084, -7.327, -6.9984, -5.4321, -5.2938","17132849, 12517010, 19951395, 14874072, 13237537, 16766908, 14267880, 19355882, 10139387, 15109122, 17641105, 11329832, 17562772, 17823467, 10725079, 13126146, 18586624, 18676370, 19175070, 11279168"
MIMIC-IV,ST_Elev_III,Top 20,"15.5105, 14.9706, 14.1532, 14.1071, 11.9076, 8.5253, 5.455, 5.437, 5.1925, 3.7949, 3.5765, 3.4451, 1.8978, 1.8829, 1.8773, 1.8396, 1.8326, 1.8141, 1.8065, 1.7895","11009860, 11488234, 16663465, 11057357, 13237537, 19390611, 15689762, 12003679, 11845306, 12805443, 10639500, 10342123, 19592126, 19592126, 18219105, 16476559, 13643747, 15401244, 18450786, 19592126"
MIMIC-IV,ST_Elev_III,Bottom 20,"-60.6292, -38.0311, -23.6775, -21.1298, -13.2179, -11.7543, -11.589, -10.8371, -10.456, -8.1303, -7.1321, -5.8847, -5.2018, -4.9682, -3.6031, -3.5863, -3.3172, -3.3041, -3.0083, -2.9957","17132849, 14691000, 12517010, 19951395, 17730015, 16766908, 13667220, 19355882, 10139387, 17823467, 18586624, 11279168, 16196998, 14219343, 11685620, 13088713, 15625104, 12597933, 14874072, 10023117"
MIMIC-IV,ST_Elev_III_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,ST_Elev_III_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,ST_Elev_III_iqr,Top 20,"155.1028, 116.1707, 67.6242, 47.6266, 38.9544, 32.6763, 30.8621, 25.6428, 18.6796, 16.1354, 15.5371, 10.0665, 9.689, 6.3572, 4.1709, 3.5983, 3.2064, 3.176, 2.9346, 2.8546","10639500, 14691000, 17132849, 12517010, 12597933, 11009860, 11057357, 16663465, 19390611, 12003679, 14874072, 11279168, 13237537, 15374565, 12426684, 10342123, 12426684, 16663465, 16476559, 12426684"
MIMIC-IV,ST_Elev_III_iqr,Bottom 20,"0.001, 0.0013, 0.0014, 0.0014, 0.0016, 0.0016, 0.0017, 0.0017, 0.0017, 0.0017, 0.0017, 0.0018, 0.0018, 0.0019, 0.0019, 0.002, 0.002, 0.002, 0.002, 0.002","11862479, 15712636, 16261811, 16421346, 13313118, 11397878, 13020659, 15254879, 14358282, 14467134, 10745745, 14557748, 12564649, 18992353, 19870237, 14338363, 12277308, 19767823, 15530412, 19329421"
MIMIC-IV,ST_Elev_II_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,ST_Elev_II_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,ST_Elev_II_iqr,Top 20,"154.312, 96.6494, 54.0561, 47.6073, 31.4964, 27.341, 16.9477, 15.5425, 14.088, 13.1221, 8.1986, 3.794, 2.5451, 2.3671, 2.3027, 2.3018, 2.2833, 2.2043, 2.1464, 2.0931","10639500, 17132849, 11960875, 12517010, 19909522, 12597933, 19390611, 14874072, 16663465, 18799675, 11279168, 13762217, 15374565, 19311178, 12104929, 14812210, 12115766, 12426684, 14691000, 13126529"
MIMIC-IV,ST_Elev_II_iqr,Bottom 20,"0.0001, 0.001, 0.0011, 0.0011, 0.0011, 0.0012, 0.0012, 0.0014, 0.0015, 0.0015, 0.0016, 0.0016, 0.0016, 0.0017, 0.0017, 0.0018, 0.0018, 0.0018, 0.0019, 0.002","14167047, 13413546, 15668493, 14187451, 16977304, 13819568, 17277379, 14313330, 19678881, 11086622, 19368787, 16130527, 10691177, 16332956, 10733381, 13656987, 10094318, 19174295, 12379467, 15497609"
MIMIC-IV,ST_Elev_I_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,ST_Elev_I_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,ST_Elev_I_iqr,Top 20,"112.9151, 53.8978, 9.3101, 8.8921, 8.5607, 5.8608, 3.7646, 3.332, 3.0311, 2.7889, 2.1774, 2.0869, 1.8513, 1.842, 1.6322, 1.6086, 1.5966, 1.5919, 1.5033, 1.4561","14691000, 11960875, 13237537, 18153954, 19909522, 17132849, 15374565, 13762217, 15231087, 11488234, 12115766, 12115766, 19857858, 19390611, 10411149, 18799675, 13733457, 17316016, 19823744, 13649937"
MIMIC-IV,ST_Elev_I_iqr,Bottom 20,"0.0, 0.0001, 0.0005, 0.0005, 0.0006, 0.0008, 0.0008, 0.0008, 0.0009, 0.001, 0.001, 0.001, 0.001, 0.001, 0.001, 0.0011, 0.0011, 0.0011, 0.0012, 0.0012","15998075, 11652327, 11287998, 11164118, 13029051, 11260983, 12382393, 13926282, 19057749, 14485946, 12101085, 18220526, 15804669, 19764647, 15770679, 16503885, 11652327, 13706429, 15181667, 10190684"
MIMIC-IV,ST_Elev_V1,Top 20,"50.695, 27.1534, 22.9315, 22.7264, 21.9174, 21.7488, 21.4601, 20.8547, 18.7661, 18.1693, 18.1525, 15.8906, 15.6768, 15.4184, 14.1406, 13.6588, 13.6447, 13.4317, 13.2995, 13.0293","10570126, 14449762, 18562317, 18380697, 11240669, 19372257, 19820806, 17580985, 12177956, 16132566, 15931924, 18932705, 16881590, 16254450, 18401011, 12864654, 12516814, 17220342, 10123949, 15198868"
MIMIC-IV,ST_Elev_V1,Bottom 20,"-92.6928, -43.4806, -35.7627, -23.7443, -22.799, -20.9051, -19.1517, -18.6783, -17.8331, -17.6229, -17.4682, -17.3372, -17.1454, -17.0075, -16.6355, -15.8829, -15.8783, -15.8511, -15.6915, -15.2283","12517010, 13797586, 14691000, 10164170, 10200129, 10250736, 11960875, 12539957, 18581793, 10124825, 13795988, 14809072, 12731441, 16826765, 13294541, 16416806, 16346470, 16177830, 15355222, 17140440"
MIMIC-IV,ST_Elev_V1_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,ST_Elev_V1_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,ST_Elev_V1_iqr,Top 20,"154.312, 112.6684, 108.3363, 107.41, 105.4051, 72.0629, 45.0527, 33.6955, 32.9489, 30.0072, 29.5638, 25.6387, 23.9189, 22.9543, 21.371, 21.2469, 18.6005, 18.5724, 13.8315, 13.7775","10639500, 14691000, 12517010, 10570126, 13797586, 18562317, 11960875, 13795988, 15102449, 12731441, 11240669, 15878493, 17970010, 14343405, 14449762, 18581793, 12350277, 10124825, 13031024, 12539957"
MIMIC-IV,ST_Elev_V1_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0001, 0.0002, 0.0003, 0.0006, 0.0006, 0.0006, 0.0008, 0.001, 0.0011, 0.0011, 0.0012, 0.0012","16715071, 12082362, 10911270, 11905585, 18910703, 14010625, 13039135, 11174340, 18248533, 11900070, 15311382, 15772402, 16237253, 11475815, 18897072, 11848936, 17367952, 12695332, 15825535, 10083833"
MIMIC-IV,ST_Elev_V2,Top 20,"32.1015, 25.4087, 24.9748, 22.9873, 22.5554, 20.7322, 19.9986, 19.8717, 18.2488, 18.1596, 17.8684, 17.8068, 17.3811, 16.9307, 16.199, 16.0602, 15.0802, 14.3486, 14.2808, 14.2513","14774100, 15438558, 11834165, 19997293, 16755805, 17131600, 17636862, 19413941, 19823744, 14766731, 15658692, 17918016, 16839169, 15367414, 11296936, 14066798, 12292383, 12352097, 19602251, 12565064"
MIMIC-IV,ST_Elev_V2,Bottom 20,"-92.6153, -35.8336, -31.3013, -24.8326, -23.268, -19.6773, -19.4715, -18.9996, -18.2867, -17.0718, -16.8767, -15.7697, -15.5968, -15.4986, -15.3655, -15.1327, -15.0032, -14.9657, -14.9607, -14.8249","12517010, 14691000, 15605951, 11776988, 17132849, 19949052, 17100571, 10939051, 16445428, 13731396, 18611488, 11734166, 13003172, 10796886, 12160317, 16371723, 19243474, 16529350, 16726619, 14311198"
MIMIC-IV,ST_Elev_V2_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,ST_Elev_V2_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,ST_Elev_V2_iqr,Top 20,"154.312, 112.8784, 108.8231, 53.893, 50.5711, 46.7671, 46.022, 27.4594, 25.7426, 24.7577, 23.7763, 20.933, 20.7167, 20.3311, 19.7451, 19.3024, 17.3481, 17.2853, 17.1933, 16.876","10639500, 14691000, 12517010, 11960875, 15605951, 16755805, 14774100, 13395021, 14345759, 15835317, 10939051, 17384929, 10791581, 17636862, 14766731, 16839169, 14082461, 17225669, 16467128, 19413941"
MIMIC-IV,ST_Elev_V2_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0001, 0.0002, 0.0002, 0.0004, 0.0011, 0.0013, 0.0015, 0.0016, 0.0017, 0.0017, 0.0017, 0.0017","19601270, 12733748, 14350978, 12929274, 11275493, 11844287, 19806212, 14899292, 14105983, 13473495, 19717191, 16700843, 15394964, 12944237, 17436451, 18321272, 14597448, 16794319, 19309776, 14431918"
MIMIC-IV,ST_Elev_V3,Top 20,"26.2689, 21.3243, 18.4872, 18.0449, 17.6738, 17.4654, 17.3677, 16.9837, 16.2105, 15.2817, 15.0367, 14.7775, 14.7243, 14.637, 14.52, 13.9586, 13.8895, 13.7479, 13.6113, 13.1094","13637669, 10791581, 15655766, 14922883, 11102426, 19696769, 15740156, 16835346, 16392279, 15586187, 10188275, 11520115, 12283783, 19127408, 10172206, 17321813, 16640179, 10570948, 16515205, 19674244"
MIMIC-IV,ST_Elev_V3,Bottom 20,"-93.345, -36.4503, -31.6016, -31.3603, -31.1292, -26.3483, -26.2997, -26.178, -20.9456, -20.008, -19.3541, -17.7126, -17.1094, -16.7036, -16.0942, -15.8206, -15.8007, -15.6829, -15.6657, -15.5698","12517010, 14691000, 15605951, 11876262, 11232657, 12858160, 13415923, 12683115, 13704822, 17132849, 19451054, 18456328, 16717759, 16123839, 12872916, 17593955, 17949474, 13615928, 18735236, 19648488"
MIMIC-IV,ST_Elev_V3_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,ST_Elev_V3_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,ST_Elev_V3_iqr,Top 20,"163.2757, 154.312, 114.7659, 109.2099, 97.7275, 68.4777, 53.9366, 50.6344, 47.0264, 38.4602, 38.3319, 35.4989, 31.48, 26.379, 18.4397, 18.3836, 17.8235, 17.2297, 15.4372, 14.6208","11232657, 10639500, 14691000, 12517010, 11919347, 13637669, 11960875, 15605951, 15655766, 11791041, 16096783, 17434499, 11520115, 11102426, 17132849, 10188275, 12487862, 11069386, 18888611, 15691324"
MIMIC-IV,ST_Elev_V3_iqr,Bottom 20,"0.0, 0.0001, 0.0001, 0.0001, 0.0001, 0.0001, 0.0002, 0.0002, 0.0004, 0.001, 0.0011, 0.0012, 0.0012, 0.0013, 0.0013, 0.0014, 0.0015, 0.0016, 0.0018, 0.0018","13713209, 19180042, 13315366, 15667551, 17735780, 18566607, 12252736, 13993692, 17524861, 14652380, 12490763, 18952379, 17989593, 16486338, 10392686, 15249018, 10591385, 11032489, 18529297, 14546527"
MIMIC-IV,ST_Elev_V4,Top 20,"33.6951, 26.8077, 24.061, 19.2545, 17.7577, 16.8014, 15.8913, 15.4591, 15.215, 15.122, 15.0782, 14.9753, 14.513, 14.4027, 14.1264, 14.0867, 13.9931, 13.8681, 13.4805, 13.0962","18544386, 14036332, 18564868, 10911270, 10798458, 16445072, 13615928, 17198853, 12229991, 19228655, 11017660, 16309666, 13282793, 13940306, 15651896, 10567046, 19550442, 14174955, 11686464, 16524944"
MIMIC-IV,ST_Elev_V4,Bottom 20,"-92.7386, -37.5849, -36.1186, -32.4865, -31.4431, -22.5469, -22.5303, -22.365, -21.5442, -21.4653, -18.9096, -18.1291, -17.6494, -16.6284, -16.5572, -16.383, -16.2845, -15.4428, -15.1466, -14.9546","12517010, 17132849, 14691000, 18079519, 15605951, 10527074, 19663837, 16000758, 15259244, 19696769, 16373944, 12181540, 19613725, 12289464, 17521786, 12542447, 15289024, 14841920, 18549014, 19508954"
MIMIC-IV,ST_Elev_V4_count,Top 20,"38, 37, 37, 37, 36, 36, 36, 35, 35, 35, 35, 35, 35, 35, 35, 35, 34, 34, 34, 34","15650239, 12138462, 12138462, 18984357, 15576075, 18820664, 19880967, 12537800, 13535452, 14993194, 14993194, 15127848, 16453118, 16970621, 17601166, 18195430, 10197095, 11633230, 14262715, 14917039"
MIMIC-IV,ST_Elev_V4_count,Bottom 20,"3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5","10639500, 11279168, 12517010, 13752513, 14415578, 14691000, 17257484, 19601270, 10480744, 10948914, 11345525, 12448633, 12757547, 13444220, 13503188, 14085291, 15709718, 16099802, 19397112, 10662181"
MIMIC-IV,ST_Elev_V4_iqr,Top 20,"154.312, 119.1388, 113.7204, 108.929, 107.6718, 62.6699, 60.084, 58.9414, 56.8252, 56.6976, 53.8522, 50.6943, 49.8151, 38.3022, 36.7918, 36.5739, 34.7993, 27.2434, 23.1242, 22.7183","10639500, 17132849, 14691000, 12517010, 18544386, 18079519, 17342098, 16805727, 11482500, 12327469, 11960875, 15605951, 14941305, 16445072, 18564868, 17521786, 19663837, 19696769, 12567301, 14036332"
MIMIC-IV,ST_Elev_V4_iqr,Bottom 20,"0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001, 0.0001, 0.0004, 0.0004, 0.0005, 0.0006, 0.0008, 0.001, 0.0012, 0.0013, 0.0013, 0.0014, 0.0015, 0.0015","13401524, 18168840, 10390714, 16345822, 13467921, 12685249, 14388050, 15916886, 17996934, 16008743, 16092524, 16546662, 14359308, 18319079, 19040247, 15296749, 18727964, 11586759, 10496339, 19548143"
MIMIC-IV,ST_Elev_V5,Top 20,"29.9069, 28.4906, 22.0375, 19.4013, 18.3372, 16.5184, 15.5256, 15.4025, 15.3662, 14.9636, 14.8765, 14.7454, 14.4204, 14.4149, 14.3253, 14.298, 13.7773, 13.7041, 13.6941, 13.6401","17471045, 14104740, 13416445, 17473715, 18295542, 16289299, 13973494, 13148729, 17391760, 13253226, 19336841, 18343701, 18236201, 17315179, 18451972, 12116718, 16505639, 11475699, 11579913, 15556998"
