Dataset,Method,Threshold,Feature_1,Feature_2,Correlation
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,R_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,R_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,R_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,R_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,ST_Elev_III_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,ST_Elev_II_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,ST_Elev_I_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,ST_Elev_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,ST_Elev_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,ST_Elev_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,ST_Elev_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,ST_Elev_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,ST_Elev_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,ST_Elev_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,ST_Elev_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,ST_Elev_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,S_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,S_Amp_V3_count,S_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,QRS_Dur_Global_count,0.9993500881915055
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,Q_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,Q_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,Q_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,Q_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,Q_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,Q_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,Q_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,Q_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,Q_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,RR_Mean_Global,-0.9933328358352775
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,RR_Mean_Global_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,R_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,R_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,R_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,R_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,R_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,R_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,R_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,R_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,R_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,R_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,R_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,R_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,ST_Elev_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,ST_Elev_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,ST_Elev_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,ST_Elev_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,ST_Elev_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,ST_Elev_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,ST_Elev_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,ST_Elev_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,ST_Elev_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,ST_Elev_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,ST_Elev_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,ST_Elev_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,S_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,S_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_III_count,S_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,QRS_Dur_Global_count,0.9993500881915055
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,Q_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,Q_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,Q_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,Q_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,Q_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,Q_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,Q_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,Q_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,Q_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,RR_Mean_Global,-0.9933328358352775
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,RR_Mean_Global_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,R_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,R_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,R_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,R_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,R_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,R_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,R_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,R_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,R_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,R_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,R_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,R_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,ST_Elev_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,ST_Elev_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,ST_Elev_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,ST_Elev_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,ST_Elev_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,ST_Elev_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,ST_Elev_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,ST_Elev_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,ST_Elev_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,ST_Elev_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,ST_Elev_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,ST_Elev_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,S_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,S_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,S_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_II_count,T_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,QRS_Dur_Global_count,0.9993500881915055
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,Q_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,Q_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,Q_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,Q_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,Q_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,Q_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,Q_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,Q_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,Q_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,RR_Mean_Global,-0.9933328358352775
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,RR_Mean_Global_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,R_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,R_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,R_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,R_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,R_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,R_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,R_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,R_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,R_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,R_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,R_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,R_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,ST_Elev_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,ST_Elev_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,ST_Elev_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,ST_Elev_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,ST_Elev_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,ST_Elev_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,ST_Elev_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,ST_Elev_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,ST_Elev_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,ST_Elev_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,ST_Elev_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,ST_Elev_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,S_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,S_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,S_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,T_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_I_count,T_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,QRS_Dur_Global_count,0.9993500881915055
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,Q_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,Q_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,Q_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,Q_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,Q_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,Q_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,Q_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,Q_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,Q_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,RR_Mean_Global,-0.9933328358352775
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,RR_Mean_Global_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,R_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,R_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,R_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,R_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,R_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,R_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,R_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,R_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,R_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,R_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,R_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,R_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,ST_Elev_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,ST_Elev_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,ST_Elev_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,ST_Elev_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,ST_Elev_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,ST_Elev_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,ST_Elev_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,ST_Elev_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,ST_Elev_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,ST_Elev_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,ST_Elev_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,ST_Elev_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,S_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,S_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,S_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,T_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,T_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V1_count,T_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,QRS_Dur_Global_count,0.9993500881915055
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,Q_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,Q_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,Q_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,Q_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,Q_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,Q_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,Q_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,Q_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,Q_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,RR_Mean_Global,-0.9933328358352775
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,RR_Mean_Global_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,R_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,R_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,R_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,R_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,R_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,R_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,R_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,R_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,R_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,R_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,R_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,R_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,ST_Elev_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,ST_Elev_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,ST_Elev_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,ST_Elev_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,ST_Elev_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,ST_Elev_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,ST_Elev_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,ST_Elev_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,ST_Elev_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,ST_Elev_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,ST_Elev_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,ST_Elev_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,S_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,S_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,S_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,T_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,T_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,T_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V2_count,T_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,QRS_Dur_Global_count,0.9993500881915055
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,Q_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,Q_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,Q_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,Q_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,Q_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,Q_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,Q_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,Q_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,Q_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,RR_Mean_Global,-0.9933328358352775
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,RR_Mean_Global_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,R_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,R_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,R_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,R_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,R_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,R_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,R_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,R_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,R_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,R_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,R_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,R_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,ST_Elev_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,ST_Elev_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,ST_Elev_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,ST_Elev_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,ST_Elev_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,ST_Elev_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,ST_Elev_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,ST_Elev_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,ST_Elev_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,ST_Elev_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,ST_Elev_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,ST_Elev_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,S_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,S_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,S_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,T_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,T_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,T_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,T_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V3_count,T_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,QRS_Dur_Global_count,0.9993500881915055
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,Q_Amp_III_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,Q_Amp_II_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,Q_Amp_I_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,Q_Amp_V1_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,Q_Amp_V2_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,Q_Amp_V3_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,Q_Amp_V4_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,Q_Amp_V5_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,Q_Amp_V6_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,Q_Amp_aVF_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,Q_Amp_aVL_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,Q_Amp_aVR_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,RR_Mean_Global,-0.9933328358352775
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,RR_Mean_Global_count,1.0
MIMIC-IV,Spearman,> 0.9,T_Amp_V4_count,R_Amp_III_count,1.0
